Russian,English
IAEA NUCLEAR ENERGY SERIES PUBLICATIONS|ПУБЛИКАЦИИ СЕРИИ ИЗДАНИЙ МАГАТЭ ПО ЯДЕРНОЙ ЭНЕРГИИ|,STRUCTURE OF THE IAEA NUCLEAR ENERGY SERIES|СТРУКТУРА СЕРИИ ИЗДАНИЙ МАГАТЭ ПО ЯДЕРНОЙ ЭНЕРГИИ|
"Under the terms of Articles III.A and VIII.C of its Statute, the IAEA is authorized to foster the exchange of scientific and technical information on the peaceful uses of atomic energy. |В соответствии с положениями статей III.A.3 и VIII.C Устава МАГАТЭ уполномочено «способствовать обмену научными и техническими сведениями о применении атомной энергии в мирных целях». |","The publications in the IAEA Nuclear Energy Series provide information in the areas of nuclear power, nuclear fuel cycle, radioactive waste management and decommissioning, and on general issues that are relevant to all of the above mentioned areas. |В публикациях Серии изданий МАГАТЭ по ядерной энергии представлены положительная практика и технологические достижения, практические примеры и опыт в сфере ядерных реакторов, ядерного топливного цикла, обращения с радиоактивными отходами и вывода из эксплуатации, а также общие вопросы, относящиеся к ядерной энергии. |"
The structure of the IAEA Nuclear Energy Series comprises four levels.|Структура Серии изданий МАГАТЭ по ядерной энергии подразделяется на три уровня.|,"The Nuclear Energy Basic Principles publication describes the rationale and vision for the peaceful uses of nuclear energy.|Публикации, обозначенные в Серии изданий по ядерной энергии как «Основные принципы», содержат изложение смысла и концепции использования ядерной энергии в мирных целях.|"
"Nuclear Energy Series Objectives publications explain the expectations to be met in various areas at different stages of implementation.|В публикациях, обозначенных в Серии изданий по ядерной энергии как «Цели», описываются вопросы, которые следует учитывать, и конкретные цели, которые должны быть достигнуты в тематических областях на различных этапах осуществления.|","Nuclear Energy Series Guides provide high level guidance on how to achieve the objectives related to the various topics and areas involving the peaceful uses of nuclear energy.|В публикациях, обозначенных в Серии изданий по ядерной энергии как «Руководства и методологии», предлагаются руководящие принципы высокого уровня или методические рекомендации о том, какими способами можно достичь целей, определенных в рамках различных тем и областей, касающихся использования ядерной энергии в мирных целях.|"
"Nuclear Energy Series Technical Reports provide additional, more detailed information on activities related to the various areas dealt with in the IAEA Nuclear Energy Series.|В публикациях, обозначенных в Серии изданий по ядерной энергии как «Технические доклады», предоставляется более полная и подробная информация о деятельности, осуществляемой в областях, исследуемых в Серии изданий МАГАТЭ по ядерной энергии.|","The IAEA Nuclear Energy Series publications are coded as follows: NG — general; NP — nuclear power; NF — nuclear fuel; NW — radioactive waste management and decommissioning. |Для публикаций в серии изданий МАГАТЭ по ядерной энергии применяются следующие обозначения: NG — ядерная энергия, общие вопросы; NR — ядерные реакторы (ранее NP — ядерная энергетика); NF — ядерный топливный цикл; NW — обращение с радиоактивными отходами и вывод из эксплуатации. |"
"In addition, the publications are available in English on the IAEA Internet site:|Публикации размещены также на сайте МАГАТЭ по адресу:|",http://www.iaea.org/Publications/index.html|http://www.iaea.org/Publications/index.html|
"For further information, please contact the IAEA at PO Box 100, Vienna International Centre, 1400 Vienna, Austria.|Для получения дополнительной информации просьба обращаться в МАГАТЭ по адресу: Vienna International Centre, PO Box 100, 1400 Vienna, Austria.|","All users of the IAEA Nuclear Energy Series publications are invited to inform the IAEA of experience in their use for the purpose of ensuring that they continue to meet user needs. |Предлагаем всем пользователям материалов, выходящих в Серии изданий МАГАТЭ по ядерной энергии, поделиться с МАГАТЭ своим опытом их использования, что поможет обеспечить соответствие этих материалов потребностям пользователей и в дальнейшем. |"
"Information may be provided via the IAEA Internet site, by post, at the address given above, or by email to Official.Mail@iaea.org.|Эта информация может быть направлена через сайт МАГАТЭ, по почте или по электронной почте на адрес Official.Mail@iaea.org.|",MANAGEMENT OF DISUSED SEALED
RADIOACTIVE SOURCES|ОБРАЩЕНИЕ С ИЗЪЯТЫМИ,ИЗ УПОТРЕБЛЕНИЯ ЗАКРЫТЫМИ РАДИОАКТИВНЫМИ
ИСТОЧНИКАМИ|,The following States are Members of the International Atomic Energy Agency:|Членами Международного агентства по атомной энергии являются следующие государства:|
